,City,Country,Temperature,Humidity,Cloudiness,Wind Speed(mph),Latitude
52,Kieta,PG,76.73,85,100,5.21,-6.22
53,Phan Thiet,VN,86.27,61,42,7.02,10.93
54,Mount Isa,AU,87.8,18,87,8.05,-20.73
55,San Jose del Guaviare,CO,69.53,99,78,1.21,2.57
56,New Norfolk,AU,55.98,57,40,19.46,-42.78
57,Takoradi,GH,74.03,94,63,4.0,4.89
58,Pisco,PE,62.33,82,40,2.24,-13.71
59,Lasa,CY,71.6,53,40,9.17,34.92
60,Avarua,CK,69.8,73,95,4.7,-21.21
61,Tual,ID,79.07,85,51,13.22,-5.67
62,Rikitea,PF,69.89,72,74,12.8,-23.12
63,Mazamari,PE,39.29,91,99,1.01,-11.33
64,Flinders,AU,65.19,46,0,12.75,-34.58
65,Vammala,FI,36.18,100,0,3.83,61.34
66,Scottsbluff,US,58.1,58,1,6.93,41.87
67,San Policarpo,PH,83.75,68,0,9.73,12.18
68,Touros,BR,71.6,94,20,4.7,-5.2
69,Punta Arenas,CL,49.12,76,75,23.04,-53.16
70,Revda,RU,32.45,97,100,10.22,67.94
71,Bombay,US,61.38,88,90,6.93,44.94
72,Souillac,FR,58.66,93,100,3.36,45.6
73,Sabang,PH,87.01,75,45,5.01,13.8
74,Qaqortoq,GL,51.8,37,100,25.28,60.72
75,Kavieng,PG,83.39,69,73,1.05,-2.57
76,Marolambo,MG,71.51,59,8,3.91,-20.05
77,Port Elizabeth,US,73.0,73,90,9.17,39.31
78,Viedma,AR,56.21,33,0,11.12,-40.81
79,Butaritari,KI,85.55,68,41,9.91,3.07
80,Arona,IT,52.03,100,20,4.7,45.76
81,Zhanaozen,KZ,66.11,43,14,7.99,43.35
82,Hofn,IS,41.63,100,100,4.29,64.25
83,Narrabri,AU,72.66,13,0,9.17,-30.33
84,Torbay,CA,58.08,100,90,14.99,47.66
85,Norman Wells,CA,30.2,92,40,4.7,65.28
86,Taunggyi,MM,81.77,45,86,5.28,20.78
87,Georgetown,GY,73.4,94,43,4.7,6.8
88,Chuy,UY,50.27,87,21,8.32,-33.69
89,Petrovsk-Zabaykalskiy,RU,67.37,46,8,9.75,51.27
90,Jamestown,AU,62.33,44,0,8.28,-33.21
91,Ostrovnoy,RU,36.23,86,100,21.52,68.05
92,Hasan Abdal,IR,53.6,32,0,14.05,36.62
93,Vila Franca do Campo,PT,69.62,88,40,3.36,37.72
94,Tomatlan,MX,80.69,86,100,12.71,19.93
95,Kaitangata,NZ,51.01,56,63,11.01,-46.28
96,Wad Rawah,SD,89.15,48,2,13.53,15.16
97,Oistins,BB,82.4,78,75,11.41,13.07
98,Pevek,RU,35.51,78,100,16.04,69.7
99,Mamallapuram,IN,83.39,83,75,3.36,12.63
100,Shasta Lake,US,61.59,55,0,4.7,40.68
101,Iskateley,RU,40.01,84,98,11.34,67.68
102,Thompson,CA,57.2,62,20,12.75,55.74
103,Port Alfred,ZA,60.01,71,0,5.01,-33.59
104,Los Chiles,CR,72.0,1,35,3.04,11.04
105,Fort Nelson,CA,42.8,61,75,3.36,58.81
106,Khorramshahr,IR,78.49,54,0,4.7,30.43
107,Uruguaiana,BR,59.0,62,0,6.93,-29.77
108,Shagonar,RU,64.85,53,0,3.4,51.54
109,Port Augusta,AU,61.93,54,0,10.29,-32.49
110,Ucluelet,CA,57.29,96,100,11.88,48.94
111,Redmond,US,58.5,72,90,11.41,47.67
112,Taoudenni,ML,85.37,13,0,2.37,22.68
113,Severo-Kurilsk,RU,49.01,90,100,26.51,50.68
114,Luderitz,NA,59.0,44,0,3.36,-26.65
115,Clyde River,CA,28.4,86,90,4.7,70.47
116,Anahuac,MX,79.5,94,0,1.99,26.44
117,Haines Junction,CA,32.45,93,99,0.96,60.75
118,Pyay,MM,87.71,71,46,0.94,18.82
119,Esperance,AU,71.6,40,100,17.22,-33.86
120,Dikson,RU,35.33,92,75,22.19,73.51
121,Pangnirtung,CA,23.81,72,0,2.39,66.15
122,Gashua,NG,83.57,32,0,1.1,12.87
123,Ponta do Sol,BR,59.27,73,8,9.62,-20.63
124,East London,ZA,57.2,62,0,9.17,-33.02
125,Saldanha,PT,57.47,78,18,4.07,41.42
126,Sokoni,CD,70.0,44,0,10.0,-12.89
127,Lai,CN,39.29,68,97,3.27,27.82
128,Sisimiut,GL,39.11,90,82,19.98,66.94
129,Naron,ES,64.0,93,40,8.05,43.52
130,Jumla,NP,67.91,48,8,6.55,29.28
131,Terrasini,IT,74.71,73,20,18.34,38.15
132,Bambanglipuro,ID,76.55,85,28,20.15,-7.95
133,Bethel,US,45.25,65,75,10.29,60.79
134,Kormilovka,RU,44.6,65,75,20.13,55.0
135,Tiksi,RU,35.51,94,97,3.98,71.64
136,Srednekolymsk,RU,33.53,64,89,5.44,67.46
137,Kudahuvadhoo,MV,80.15,85,100,21.41,2.67
138,Plettenberg Bay,ZA,56.39,59,27,5.3,-34.05
139,Columbus,US,56.37,71,1,7.47,39.96
140,Qaanaaq,GL,25.43,98,100,4.85,77.48
141,Kahului,US,78.19,100,90,9.17,20.89
142,Punta,PH,88.39,62,75,9.17,14.18
143,Hasaki,JP,82.04,65,75,11.41,35.73
144,Zaragoza,SV,74.35,94,20,2.24,13.59
145,Kidal,ML,86.27,11,0,10.36,18.44
146,Kenai,US,46.67,76,1,3.38,60.55
147,Fallon,US,57.9,77,1,6.93,46.84
148,Vilhena,BR,76.37,68,59,3.49,-12.74
149,Meulaboh,ID,81.95,78,6,6.33,4.14
150,Castro,CL,48.2,100,90,4.7,-42.48
151,Bambous Virieux,MU,75.83,44,75,14.99,-20.34
152,Nikolskoye,RU,36.82,69,0,4.47,59.7
153,Yabelo,ET,68.09,65,40,8.99,4.89
154,Cockburn Town,TC,83.93,72,100,5.46,21.46
155,San Cristobal,HN,67.19,94,45,2.15,14.68
156,Cap Malheureux,MU,75.99,44,75,14.99,-19.98
157,Benguela,AO,70.79,83,5,2.17,-12.58
158,Faanui,PF,79.79,83,41,12.1,-16.48
159,Upernavik,GL,36.59,92,100,8.28,72.79
160,Fortuna,US,57.06,87,1,6.93,40.6
161,Loikaw,MM,76.19,61,63,6.13,19.67
162,Bonavista,CA,57.99,82,99,13.0,48.65
163,Hilo,US,71.44,74,90,6.93,19.71
164,Lucapa,AO,75.65,65,5,3.49,-8.42
165,Dombarovskiy,RU,44.51,57,0,15.21,50.76
166,Tiarei,PF,80.28,74,40,2.24,-17.53
167,Leshukonskoye,RU,37.85,88,100,8.48,64.9
168,Marshalltown,US,64.08,100,1,6.93,42.04
169,Tocopilla,CL,56.57,84,76,2.89,-22.09
170,Lorengau,PG,84.47,67,85,6.38,-2.02
171,Turayf,SA,69.8,32,0,5.82,31.68
172,Puerto del Rosario,ES,71.6,78,75,16.11,28.5
173,Airai,TL,81.23,62,33,4.7,-8.93
174,General Pico,AR,53.51,45,0,5.44,-35.66
175,Saint-Philippe,CA,62.22,88,90,12.75,45.36
176,Vermilion,CA,46.4,81,90,13.87,53.35
177,Wasilla,US,44.46,81,1,2.24,61.58
178,Paamiut,GL,41.81,77,100,13.53,61.99
179,Ometepec,MX,74.93,95,100,2.62,16.69
180,Stabat,ID,93.0,40,20,4.76,3.76
181,Puerto Colombia,CO,75.54,100,75,6.93,10.99
182,Tasiilaq,GL,44.6,87,100,19.46,65.61
183,Lagoa,PT,63.46,77,0,3.36,37.14
184,Provideniya,RU,39.2,60,75,11.18,64.42
185,Tawau,MY,89.22,59,75,8.05,4.26
186,Leningradskiy,RU,36.77,97,100,16.73,69.38
187,Zeya,RU,47.03,44,3,9.86,53.74
188,Carballo,ES,64.42,93,40,8.05,43.21
189,Joshimath,IN,64.49,62,0,7.52,30.57
190,Porto Walter,BR,74.39,76,17,2.75,-8.27
191,Rehoboth,NA,52.07,16,0,5.5,-23.31
192,Aquiraz,BR,78.8,78,40,17.22,-3.9
193,Guerrero Negro,MX,70.25,82,0,9.93,27.97
194,Savannah Bight,HN,85.19,71,48,10.02,16.45
195,Gornyy,RU,42.89,67,3,11.43,51.76
196,Predivinsk,RU,57.65,41,0,9.4,57.07
197,Pishva,IR,81.27,31,0,13.87,35.31
198,Henties Bay,NA,55.99,89,0,2.33,-22.12
199,Shanghai,CN,83.25,37,0,8.95,31.23
200,North Shore,AU,57.07,58,90,14.99,-38.1
201,Zaraza,VE,71.33,93,91,0.89,9.35
202,Chumikan,RU,46.13,43,91,12.62,54.72
203,Alofi,NU,73.4,56,54,12.75,-19.06
204,Khatanga,RU,40.01,83,100,8.41,71.98
205,Victoria,BN,91.78,49,75,9.17,5.28
206,Novo Aripuana,BR,74.93,77,0,1.34,-5.12
207,Havoysund,NO,39.18,75,75,6.93,71.0
208,Bathsheba,BB,82.4,78,75,11.41,13.22
209,Klaksvik,FO,50.0,100,64,25.28,62.23
210,Atar,MR,88.79,26,4,14.83,20.52
211,Teya,MX,80.82,88,5,4.7,21.05
212,Cherskiy,RU,33.35,75,98,1.74,68.75
213,Mar del Plata,AR,52.61,64,40,15.01,-46.43
214,Mahon,IE,56.44,93,75,12.75,51.89
215,Jinchang,CN,65.39,21,0,6.62,38.52
216,Brainerd,US,54.25,71,1,5.82,46.36
217,Marystown,CA,54.77,94,100,8.3,47.17
218,Tuatapere,NZ,46.0,81,99,10.0,-46.13
219,Hammerfest,NO,37.4,93,40,10.29,70.66
220,Kaeo,NZ,54.54,100,44,13.91,-35.1
221,Ilulissat,GL,37.4,86,100,1.12,69.22
222,Inhambane,MZ,71.6,88,75,4.7,-23.87
223,Jacmel,HT,80.6,88,100,1.12,18.24
224,Puerto Escondido,MX,75.11,90,77,2.82,15.86
225,Markala,ML,76.37,73,6,6.58,13.69
226,Marawi,PH,84.99,76,56,8.01,8.0
227,Portree,GB,55.99,85,100,5.01,57.41
228,Ellenabad,IN,93.65,39,0,8.28,29.45
229,Zhongxing,CN,78.89,83,95,9.19,19.57
230,Nouadhibou,MR,71.6,78,0,19.46,20.93
231,Xichang,CN,62.01,80,100,3.0,27.88
232,San Quintin,PH,84.29,73,0,6.49,17.54
233,Chengzihe,CN,57.83,48,10,16.4,45.35
234,Evanton,GB,56.39,87,40,3.36,57.66
235,La Ronge,CA,53.6,58,75,10.29,55.1
236,Buturlino,RU,38.39,87,98,12.46,55.57
237,Bom Jardim,BR,69.8,88,40,11.41,-7.8
238,Tianpeng,CN,85.91,33,55,6.26,28.88
239,Sitka,US,69.49,88,0,13.0,37.17
240,Hearst,CA,45.77,96,27,5.91,49.69
241,Sayyan,YE,80.69,21,2,11.65,15.17
242,Roura,GF,75.2,94,1,1.41,4.73
243,Longyearbyen,NO,35.6,93,75,8.05,78.22
244,Shimoda,JP,77.85,88,75,8.05,34.7
245,Along,IN,63.05,81,95,5.93,28.17
246,Placido de Castro,BR,77.45,63,26,1.01,-10.34
247,Sao Joao da Barra,BR,59.45,83,95,3.76,-21.64
248,Weihai,CN,83.52,41,0,5.41,37.5
249,Los Llanos de Aridane,ES,69.8,73,3,8.05,28.66
250,Kontagora,NG,75.11,90,100,5.41,10.4
251,Hithadhoo,MV,81.59,79,100,17.25,-0.6
252,Tevriz,RU,40.37,81,100,9.37,57.51
253,Kaseda,JP,79.59,61,75,5.82,31.42
254,Marzuq,YE,81.77,25,62,4.72,14.4
255,Springfield,US,66.0,77,90,6.93,42.1
256,Colomi,BO,59.0,44,0,3.36,-17.34
257,Canutama,BR,72.59,93,68,2.15,-6.53
258,Oktyabrskoye,RU,59.4,54,0,26.84,56.73
259,Harper,US,77.58,65,1,6.93,30.3
260,Batouri,CM,69.35,97,86,2.95,4.44
261,Turukhansk,RU,43.25,79,83,26.13,65.8
262,Lierneux,BE,53.71,93,83,8.05,50.29
263,Muheza,TZ,72.23,70,13,3.42,-5.18
264,Kruisfontein,ZA,53.69,70,33,10.6,-34.0
265,Sydney,AU,67.55,42,0,17.22,-33.85
266,Cagliari,IT,45.55,93,0,1.12,46.38
267,Mao,DO,77.32,100,90,2.93,19.55
268,Goderich,CA,59.88,93,81,10.0,43.74
269,Mapiripan,CO,72.77,96,94,4.65,2.89
270,Terdal,IN,79.61,77,100,7.11,16.49
271,Oshkosh,US,57.4,72,1,4.7,44.02
272,Conceicao da Barra,BR,67.19,72,99,8.43,-18.59
273,Maceio,BR,73.4,88,75,4.7,-9.67
274,Mahebourg,MU,75.78,44,75,14.99,-20.41
275,Arandis,NA,55.99,89,0,4.38,-22.42
276,Kashary,RU,47.93,46,0,1.61,49.04
277,Kununurra,AU,91.4,15,4,13.87,-15.77
278,Winston-Salem,US,71.47,61,90,4.7,36.1
279,Vostok,RU,53.51,45,6,15.82,46.45
280,Auburn,US,66.54,83,40,14.99,44.1
281,Lavrentiya,RU,29.03,73,0,7.09,65.58
282,Smithers,CA,48.2,93,75,3.36,54.78
283,Tynda,RU,44.15,47,0,7.61,55.15
284,Maamba,ZM,77.99,23,80,10.42,-17.36
285,Progreso,UY,52.59,87,0,5.82,-34.68
286,Labytnangi,RU,32.63,98,100,5.75,66.66
287,Lethbridge,CA,58.33,51,75,25.28,49.69
288,Taltal,CL,52.97,75,5,1.77,-25.41
289,Sao Filipe,CV,81.77,80,100,13.76,14.9
290,Ruwi,OM,87.8,84,0,2.24,23.6
291,Mayakonda,IN,79.07,75,96,5.44,14.29
292,Royal Leamington Spa,GB,60.58,100,75,9.17,52.29
293,Muros,ES,64.0,100,90,6.93,42.77
294,Tautira,PF,80.29,69,75,3.36,-17.73
295,Talnakh,RU,41.0,65,75,26.84,69.49
296,Neiafu,TO,73.4,60,40,9.17,-18.65
297,Magdagachi,RU,51.53,30,0,9.71,53.45
298,Lusambo,CD,76.37,78,0,3.42,-4.97
299,Waingapu,ID,86.45,48,23,15.39,-9.65
300,Ribeira Grande,PT,69.71,64,50,11.05,38.52
301,Kangaatsiaq,GL,39.83,91,94,14.58,68.31
302,Ferme-Neuve,CA,51.35,96,95,7.4,46.7
303,La Reforma,MX,78.33,83,75,3.36,25.08
304,Bikaner,IN,92.39,40,0,7.96,28.02
305,Aboso,GH,73.31,97,69,1.97,5.36
306,Veraval,FR,58.57,93,100,17.22,49.65
307,Campos Sales,BR,70.97,72,29,11.16,-7.07
308,Alice Springs,AU,51.8,87,75,4.88,-23.7
309,Alta Floresta,BR,71.51,83,19,1.61,-9.87
310,Montemorelos,MX,75.47,78,23,3.49,25.19
311,Clarence Town,AU,64.63,42,0,10.29,-32.59
312,Tornio,FI,32.2,74,0,3.36,61.12
313,Uddevalla,SE,42.35,93,0,2.24,58.35
314,Port Macquarie,AU,67.5,34,42,14.99,-31.43
315,Venancio Aires,BR,51.6,92,99,1.99,-29.61
316,Hamilton,CA,60.06,82,40,9.17,43.26
317,Namibe,AO,67.19,87,3,0.83,-15.19
318,Champerico,MX,67.55,97,99,3.15,16.38
319,Kodiak,US,62.31,87,1,7.61,39.95
320,Roebourne,AU,88.25,18,22,13.47,-20.77
321,Te Anau,NZ,42.17,67,28,9.33,-45.41
322,Zeerust,ZA,50.0,31,0,2.24,-25.54
323,Dalbandin,PK,94.55,13,0,11.9,28.9
324,Yibin,CN,65.57,88,100,5.55,28.77
325,Yaring,TH,84.2,83,20,6.93,6.87
326,Feijo,EC,66.65,95,100,0.18,-3.63
327,Piacenza,IT,54.03,100,0,4.7,45.05
328,Magistralnyy,RU,54.05,83,68,7.99,56.17
329,Luanda,AO,72.59,84,93,7.7,-8.83
330,Novyy Urengoy,RU,37.31,74,96,16.55,66.08
331,Micheweni,TZ,78.17,77,1,10.98,-4.97
332,Peniche,PT,62.53,93,75,3.36,39.36
333,Omboue,GA,76.91,86,100,10.36,-1.57
334,Ancud,CL,48.2,100,90,4.7,-41.87
335,Kingseat,GB,56.97,100,75,3.36,56.1
336,Rio Gallegos,AR,50.0,71,0,9.17,-51.62
337,Beceni,RO,56.57,67,90,11.41,45.38
338,Saint George,GR,63.45,88,75,3.36,39.45
339,Tanete,ID,83.39,70,67,11.56,-3.94
340,Biak,ID,75.11,64,12,5.19,-0.91
341,Borskoye,RU,41.27,75,81,11.52,53.03
342,Emerald,AU,87.44,20,81,11.41,-23.53
343,Whitehorse,CA,38.55,75,75,3.36,60.72
344,Okhotsk,RU,49.19,56,64,16.6,59.36
345,Fort Collins,US,55.69,51,1,5.82,40.55
346,Bhadasar,IN,92.03,40,0,8.99,28.3
347,Abashiri,JP,68.0,64,40,6.93,44.01
348,San Angelo,US,77.67,57,20,4.7,31.46
349,Ipiau,BR,64.13,95,68,3.8,-14.14
350,Mount Gambier,AU,57.2,67,75,13.87,-37.83
351,Flin Flon,CA,48.11,69,84,7.38,54.77
352,Poum,MK,55.4,93,90,1.12,41.28
353,Roald,NO,44.82,100,75,2.24,62.58
354,Coquimbo,CL,50.97,81,0,9.95,-29.95
355,Twin Falls,US,57.09,66,1,12.75,42.57
356,Molina,CL,51.8,81,0,2.24,-35.11
357,Wonthaggi,AU,55.85,71,93,9.98,-38.6
358,Plouzane,FR,61.81,93,57,17.22,48.38
359,Loandjili,CG,75.2,94,40,3.36,-4.77
360,Agadez,NE,81.48,34,0,4.7,16.97
361,Saint-Augustin,CA,61.68,93,40,3.36,45.63
362,Waterloo,SL,79.07,81,100,8.81,8.34
363,Moron,HT,81.05,82,94,8.03,18.56
364,Zyryanovsk,KZ,60.53,37,0,4.59,49.74
365,Statesville,US,69.78,77,75,3.6,35.78
366,Okha,RU,49.37,73,100,35.95,53.59
367,Kinsale,IE,57.2,93,75,12.75,51.71
368,Lufilufi,WS,82.0,69,100,11.01,-13.87
369,Xiaoshi,CN,83.57,32,82,9.55,30.59
370,Port Hedland,AU,86.0,27,48,13.87,-20.31
371,Forestville,CA,48.2,87,5,2.24,48.74
372,Pangai,TO,73.4,56,75,14.99,-19.8
373,Conil,FR,52.07,70,79,4.23,44.97
374,Port-Cartier,CA,45.73,93,5,3.36,50.03
375,High Prairie,CA,45.95,90,100,8.61,55.43
376,Sola,TZ,79.07,40,0,6.08,-3.17
377,Marsa Matruh,EG,68.0,77,20,2.24,31.35
378,Pabrade,LT,32.7,67,0,2.24,55.0
379,Trondheim,NO,46.15,93,0,5.82,63.43
380,Hacari,CO,66.65,96,100,2.86,8.32
381,Cabra,ES,58.06,82,17,1.12,37.47
382,Tateyama,JP,72.14,88,75,8.05,36.66
383,Maumere,ID,81.77,65,21,7.07,-8.63
384,Victor Harbor,AU,56.8,58,20,9.17,-35.55
385,Aroeiras,BR,69.8,88,40,11.41,-7.55
386,Victoria Point,AU,71.6,49,40,12.75,-27.58
387,Tecoanapa,MX,78.8,94,90,2.3,16.99
388,Kosh-Agach,RU,63.05,33,0,5.77,49.99
389,Shahreza,IR,74.39,16,0,5.68,32.01
390,Acapulco,MX,78.8,94,90,2.53,16.86
391,Matara,BI,71.6,73,0,4.7,-3.48
392,Ajdabiya,LY,73.13,65,0,10.25,30.75
393,Skjervoy,NO,32.0,67,0,10.29,70.03
394,Manta,RO,58.55,54,100,7.11,45.1
395,Coahuayana,MX,71.15,96,46,1.97,18.62
396,Kunya,NG,75.2,78,40,10.29,12.22
397,Lynn Haven,US,72.1,78,1,3.36,30.25
398,Notse,TG,71.51,96,96,2.95,6.95
399,Lulea,SE,28.4,100,0,5.82,65.58
400,Aragarcas,BR,82.4,54,0,1.9,-15.9
401,Nishihara,JP,83.5,45,75,3.36,35.74
402,Lima,PE,60.8,93,90,9.17,-12.06
403,Lata,IN,48.47,88,16,8.81,30.78
404,Kuala Terengganu,MY,87.24,74,75,6.93,5.33
405,Pacific Grove,US,63.41,56,1,3.36,36.62
406,Kapchorwa,UG,75.47,68,21,4.0,1.4
407,Constitucion,MX,64.0,78,84,8.99,23.99
408,San Rafael,AR,56.57,27,0,5.1,-34.61
409,Srivardhan,IN,82.13,80,76,6.35,18.03
410,Dongli,CN,84.2,48,40,8.95,24.18
411,Onguday,RU,64.31,30,4,5.1,50.75
412,Bacolod,PH,87.17,68,6,0.16,10.68
413,Marienburg,DE,53.73,93,42,2.24,52.12
414,Suhbaatar,MN,72.59,39,12,2.75,50.23
415,Ahipara,NZ,54.0,100,49,30.11,-35.17
416,Gizo,IL,72.82,64,20,2.24,31.8
417,Araioses,BR,74.75,86,22,5.01,-2.89
418,San-Pedro,CI,72.41,98,84,2.06,4.75
419,El Alto,BO,33.8,55,4,6.93,-16.5
420,Oyama,JP,85.24,63,66,0.92,36.31
421,Kamaishi,JP,75.2,53,40,10.29,39.28
422,Talaja,IN,87.17,63,27,3.11,21.35
423,Prieska,ZA,51.89,38,0,17.85,-29.67
424,Kavaratti,IN,86.0,74,40,4.7,10.57
425,Inongo,CD,77.27,80,68,4.61,-1.93
426,Ridgecrest,US,70.3,16,1,3.36,35.62
427,San Luis,AR,60.35,40,0,4.9,-33.3
428,Camacha,PT,69.8,77,20,8.05,33.08
429,Ust-Kuyga,RU,35.33,96,100,2.21,70.0
430,Tabou,CI,74.39,95,95,2.28,4.42
431,Sabha,LY,75.83,28,0,5.88,27.03
432,Diu,IN,85.55,69,49,6.35,20.71
433,Husavik,CA,60.31,56,55,4.0,50.56
434,Aleksandrov Gay,RU,46.85,54,0,11.48,50.14
435,Vao,EE,44.87,72,92,3.22,59.1
436,San Jose del Palmar,CO,68.0,82,40,6.93,4.97
437,Antofagasta,CL,57.2,76,90,4.7,-23.65
438,Kikwit,CD,77.09,78,50,1.32,-5.04
439,Ciresu,RO,59.0,67,90,11.41,44.95
440,Nome,US,77.45,88,1,5.14,30.04
441,Goundam,ML,90.05,25,0,5.55,16.42
442,Elizabeth City,US,72.14,88,90,9.17,36.3
443,Ahmadpur,IN,84.2,79,75,2.24,18.7
444,Tigre,AR,54.7,71,0,3.36,-34.42
445,Teguise,ES,71.6,73,75,10.29,29.06
446,Eyl,SO,86.99,41,1,21.43,7.98
447,Mehamn,NO,41.0,75,75,6.93,71.03
448,Katsina,NG,78.17,49,7,4.97,12.99
449,Ngaoundere,CM,67.37,90,81,2.51,7.32
450,Altay,CN,70.25,26,66,9.71,47.83
451,Caravelas,BR,71.69,71,97,17.67,-17.73
452,Belyy Yar,RU,60.8,55,0,2.24,53.6
453,Half Moon Bay,US,65.91,56,1,9.17,37.46
454,Honolulu,US,79.45,88,90,9.91,21.3
455,Marshfield,US,68.49,94,90,6.93,42.09
456,Petropavlovsk-Kamchatskiy,RU,53.6,71,75,13.42,53.05
457,Barcelona,ES,62.55,88,20,3.36,41.38
458,Acari,BR,71.33,76,0,9.31,-6.44
459,Aberdeen,US,58.68,100,90,19.46,46.98
460,Karratha,AU,88.25,19,8,16.33,-20.74
461,Brenham,US,79.0,94,1,4.7,30.17
462,Vila,IT,52.97,100,20,4.7,45.18
463,Kondinskoye,RU,37.85,74,68,14.03,59.65
464,Russell,US,69.13,77,1,12.75,38.9
465,Itarema,BR,76.73,82,37,8.86,-2.92
466,Hutchinson,US,68.67,68,1,8.05,38.06
467,Salaya,IN,83.03,78,35,6.96,22.31
468,Anloga,GH,77.0,94,40,2.24,5.79
469,Cidreira,BR,57.29,75,100,8.14,-30.17
470,Dargaville,NZ,56.39,68,71,32.21,-35.94
471,Dharchula,IN,57.65,87,36,6.89,29.85
472,Wanaka,NZ,39.83,65,57,5.57,-44.7
473,Nisia Floresta,BR,73.26,94,20,8.05,-6.09
474,Ruidoso,US,61.97,55,75,11.41,33.33
475,Cay,TR,48.2,22,0,5.12,38.59
476,Gorontalo,ID,84.65,52,0,10.16,0.54
477,Ashtabula,US,62.38,68,20,9.17,41.87
478,Bilibino,RU,23.09,80,70,4.0,68.06
479,Belaya Gora,RU,34.79,44,98,2.64,68.54
480,Mabaruma,GY,71.87,97,20,0.74,8.2
481,Windhoek,NA,51.69,23,0,12.75,-22.57
482,Albury,AU,57.34,47,90,16.11,-36.08
483,Vila Velha,BR,78.8,78,40,17.22,-3.71
484,Presidente Dutra,BR,71.15,94,44,4.61,-5.29
485,Bonthe,SL,75.11,89,94,3.24,7.53
486,Saskylakh,RU,40.55,50,100,22.91,71.97
487,Grand Gaube,MU,75.97,44,75,14.99,-20.01
488,Palembang,ID,89.15,56,24,6.85,-2.99
489,Bunbury,GB,59.7,93,75,5.82,53.12
490,Telhara,IN,84.83,69,95,3.8,21.03
491,Nizwa,OM,92.03,22,1,5.19,22.93
492,Yulara,AU,60.8,63,75,14.99,-25.24
493,Zhigansk,RU,41.81,53,11,6.02,66.77
494,Northam,AU,80.6,19,0,16.11,-31.65
495,Grand Bank,CA,55.85,87,100,14.63,47.1
496,Krasnoshchekovo,RU,67.91,25,0,19.26,51.67
497,Aklavik,CA,37.4,93,90,3.36,68.22
498,Awbari,LY,77.63,28,0,4.79,26.59
499,Mochudi,BW,53.6,30,75,4.7,-24.38
500,Anchorage,US,44.15,75,75,2.86,61.22
501,Dunedin,NZ,52.0,59,60,15.01,-45.87
502,Ouesso,CG,76.55,79,36,0.98,1.61
503,Morondava,MG,75.47,65,0,4.12,-20.3
